Series_Title,Genre,Director,Star1,Star2,Star3,Star4
Repulsion,"Drama, Horror, Thriller",Roman Polanski,Catherine Deneuve,Ian Hendry,John Fraser,Yvonne Furneaux
Zulu,"Drama, History, War",Cy Endfield,Stanley Baker,Jack Hawkins,Ulla Jacobsson,James Booth
Goldfinger,"Action, Adventure, Thriller",Guy Hamilton,Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton
The Birds,"Drama, Horror, Mystery",Alfred Hitchcock,Rod Taylor,Tippi Hedren,Jessica Tandy,Suzanne Pleshette
Cape Fear,"Drama, Thriller",J. Lee Thompson,Gregory Peck,Robert Mitchum,Polly Bergen,Lori Martin
Peeping Tom,"Drama, Horror, Thriller",Michael Powell,Karlheinz Böhm,Anna Massey,Moira Shearer,Maxine Audley
The Magnificent Seven,"Action, Adventure, Western",John Sturges,Yul Brynner,Steve McQueen,Charles Bronson,Eli Wallach
Les yeux sans visage,"Drama, Horror",Georges Franju,Pierre Brasseur,Alida Valli,Juliette Mayniel,Alexandre Rignault
Invasion of the Body Snatchers,"Drama, Horror, Sci-Fi",Don Siegel,Kevin McCarthy,Dana Wynter,Larry Gates,King Donovan
Rebel Without a Cause,Drama,Nicholas Ray,James Dean,Natalie Wood,Sal Mineo,Jim Backus
The Ladykillers,"Comedy, Crime",Alexander Mackendrick,Alec Guinness,Peter Sellers,Cecil Parker,Herbert Lom
Sabrina,"Comedy, Drama, Romance",Billy Wilder,Humphrey Bogart,Audrey Hepburn,William Holden,Walter Hampden
The Quiet Man,"Comedy, Drama, Romance",John Ford,John Wayne,Maureen O'Hara,Barry Fitzgerald,Ward Bond
The Day the Earth Stood Still,"Drama, Sci-Fi",Robert Wise,Michael Rennie,Patricia Neal,Hugh Marlowe,Sam Jaffe
The African Queen,"Adventure, Drama, Romance",John Huston,Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull
Gilda,"Drama, Film-Noir, Romance",Charles Vidor,Rita Hayworth,Glenn Ford,George Macready,Joseph Calleia
Fantasia,"Animation, Family, Fantasy",James Algar,Samuel Armstrong,Ford Beebe Jr.,Norman Ferguson,David Hand
The Invisible Man,"Horror, Sci-Fi",James Whale,Claude Rains,Gloria Stuart,William Harrigan,Henry Travers
Dark Waters,"Biography, Drama, History",Todd Haynes,Mark Ruffalo,Anne Hathaway,Tim Robbins,Bill Pullman
Searching,"Drama, Mystery, Thriller",Aneesh Chaganty,John Cho,Debra Messing,Joseph Lee,Michelle La
Once Upon a Time... in Hollywood,"Comedy, Drama",Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch
Nelyubov,Drama,Andrey Zvyagintsev,Maryana Spivak,Aleksey Rozin,Matvey Novikov,Marina Vasileva
The Florida Project,Drama,Sean Baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera
Just Mercy,"Biography, Crime, Drama",Destin Daniel Cretton,Michael B. Jordan,Jamie Foxx,Brie Larson,Charlie Pye Jr.
Gifted,Drama,Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer
The Peanut Butter Falcon,"Adventure, Comedy, Drama",Tyler Nilson,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson
Victoria,"Crime, Drama, Romance",Sebastian Schipper,Laia Costa,Frederick Lau,Franz Rogowski,Burak Yigit
Mustang,Drama,Deniz Gamze Ergüven,Günes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan
Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy",James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel
Baby Driver,"Action, Crime, Drama",Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González
Only the Brave,"Action, Biography, Drama",Joseph Kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly
Bridge of Spies,"Drama, History, Thriller",Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan
Incredibles 2,"Animation, Action, Adventure",Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner
Moana,"Animation, Adventure, Comedy",Ron Clements,John Musker,Don Hall,Chris Williams,Auli'i Cravalho
Sicario,"Action, Crime, Drama",Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal
Creed,"Drama, Sport",Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad
Leviafan,"Crime, Drama",Andrey Zvyagintsev,Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Vladimir Vdovichenkov
Hell or High Water,"Action, Crime, Drama",David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham
Philomena,"Biography, Comedy, Drama",Stephen Frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham
Dawn of the Planet of the Apes,"Action, Adventure, Drama",Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,Kodi Smit-McPhee
El cuerpo,"Mystery, Thriller",Oriol Paulo,Jose Coronado,Hugo Silva,Belén Rueda,Aura Garrido
Serbuan maut,"Action, Thriller",Gareth Evans,Iko Uwais,Ananda George,Ray Sahetapy,Donny Alamsyah
End of Watch,"Action, Crime, Drama",David Ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera
Kari-gurashi no Arietti,"Animation, Adventure, Family",Hiromasa Yonebayashi,Amy Poehler,Mirai Shida,Ryûnosuke Kamiki,Tatsuya Fujiwara
A Star Is Born,"Drama, Music, Romance",Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg
True Grit,"Drama, Western",Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld
Hævnen,"Drama, Romance",Susanne Bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson
Despicable Me,"Animation, Comedy, Crime",Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand
50/50,"Comedy, Drama, Romance",Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard
Kick-Ass,"Action, Comedy, Crime",Matthew Vaughn,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown
Celda 211,"Action, Adventure, Crime",Daniel Monzón,Luis Tosar,Alberto Ammann,Antonio Resines,Manuel Morón
Moneyball,"Biography, Drama, Sport",Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman
La piel que habito,"Drama, Horror, Thriller",Pedro Almodóvar,Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes
Zombieland,"Adventure, Comedy, Fantasy",Ruben Fleischer,Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin
Die Welle,"Drama, Thriller",Dennis Gansel,Jürgen Vogel,Frederick Lau,Max Riemelt,Jennifer Ulrich
Sherlock Holmes,"Action, Adventure, Mystery",Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong
The Blind Side,"Biography, Drama, Sport",John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head
The Visitor,Drama,Tom McCarthy,Richard Jenkins,Haaz Sleiman,Danai Gurira,Hiam Abbass
Seven Pounds,Drama,Gabriele Muccino,Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy
Eastern Promises,"Action, Crime, Drama",David Cronenberg,Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl,Josef Altin
Stardust,"Adventure, Family, Fantasy",Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller,Ian McKellen
The Secret of Kells,"Animation, Adventure, Family",Tomm Moore,Nora Twomey,Evan McGuire,Brendan Gleeson,Mick Lally
Inside Man,"Crime, Drama, Mystery",Spike Lee,Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer
Gone Baby Gone,"Crime, Drama, Mystery",Ben Affleck,Morgan Freeman,Ed Harris,Casey Affleck,Michelle Monaghan
La Vie En Rose,"Biography, Drama, Music",Olivier Dahan,Marion Cotillard,Sylvie Testud,Pascal Greggory,Emmanuelle Seigner
Huo Yuan Jia,"Action, Biography, Drama",Ronny Yu,Jet Li,Li Sun,Yong Dong,Yun Qu
The Illusionist,"Drama, Fantasy, Mystery",Neil Burger,Edward Norton,Jessica Biel,Paul Giamatti,Rufus Sewell
Dead Man's Shoes,"Crime, Drama, Thriller",Shane Meadows,Paddy Considine,Gary Stretch,Toby Kebbell,Stuart Wolfenden
Harry Potter and the Half-Blood Prince,"Action, Adventure, Family",David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon
300,"Action, Drama",Zack Snyder,Gerard Butler,Lena Headey,David Wenham,Dominic West
Match Point,"Drama, Romance, Thriller",Woody Allen,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,Matthew Goode
Watchmen,"Action, Drama, Mystery",Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman
Lord of War,"Action, Crime, Drama",Andrew Niccol,Nicolas Cage,Ethan Hawke,Jared Leto,Bridget Moynahan
Saw,"Horror, Mystery, Thriller",James Wan,Cary Elwes,Leigh Whannell,Danny Glover,Ken Leung
"Synecdoche, New York",Drama,Charlie Kaufman,Philip Seymour Hoffman,Samantha Morton,Michelle Williams,Catherine Keener
Mysterious Skin,Drama,Gregg Araki,Brady Corbet,Joseph Gordon-Levitt,Elisabeth Shue,Chase Ellison
Jeux d'enfants,"Comedy, Drama, Romance",Yann Samuell,Guillaume Canet,Marion Cotillard,Thibault Verhaeghe,Joséphine Lebas-Joly
Un long dimanche de fiançailles,"Drama, Mystery, Romance",Jean-Pierre Jeunet,Audrey Tautou,Gaspard Ulliel,Jodie Foster,Dominique Pinon
The Station Agent,"Comedy, Drama",Tom McCarthy,Peter Dinklage,Patricia Clarkson,Bobby Cannavale,Paul Benjamin
21 Grams,"Crime, Drama, Thriller",Alejandro G. Iñárritu,Sean Penn,Benicio Del Toro,Naomi Watts,Danny Huston
Boksuneun naui geot,"Crime, Drama, Thriller",Chan-wook Park,Kang-ho Song,Shin Ha-kyun,Bae Doona,Ji-Eun Lim
Finding Neverland,"Biography, Drama, Family",Marc Forster,Johnny Depp,Kate Winslet,Julie Christie,Radha Mitchell
25th Hour,Drama,Spike Lee,Edward Norton,Barry Pepper,Philip Seymour Hoffman,Rosario Dawson
The Butterfly Effect,"Drama, Sci-Fi, Thriller",Eric Bress,J. Mackye Gruber,Ashton Kutcher,Amy Smart,Melora Walters
28 Days Later...,"Drama, Horror, Sci-Fi",Danny Boyle,Cillian Murphy,Naomie Harris,Christopher Eccleston,Alex Palmer
Batoru rowaiaru,"Action, Adventure, Drama",Kinji Fukasaku,Tatsuya Fujiwara,Aki Maeda,Tarô Yamamoto,Takeshi Kitano
The Royal Tenenbaums,"Comedy, Drama",Wes Anderson,Gene Hackman,Gwyneth Paltrow,Anjelica Huston,Ben Stiller
Y tu mamá también,Drama,Alfonso Cuarón,Maribel Verdú,Gael García Bernal,Daniel Giménez Cacho,Ana López Mercado
Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",Chris Columbus,Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith
The Others,"Horror, Mystery, Thriller",Alejandro Amenábar,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Alakina Mann
Blow,"Biography, Crime, Drama",Ted Demme,Johnny Depp,Penélope Cruz,Franka Potente,Rachel Griffiths
Enemy at the Gates,"Drama, History, War",Jean-Jacques Annaud,Jude Law,Ed Harris,Joseph Fiennes,Rachel Weisz
Minority Report,"Action, Crime, Mystery",Steven Spielberg,Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow
The Hurricane,"Biography, Drama, Sport",Norman Jewison,Denzel Washington,Vicellous Shannon,Deborah Kara Unger,Liev Schreiber
American Psycho,"Comedy, Crime, Drama",Mary Harron,Christian Bale,Justin Theroux,Josh Lucas,Bill Sage
Lola rennt,"Crime, Drama, Thriller",Tom Tykwer,Franka Potente,Moritz Bleibtreu,Herbert Knaup,Nina Petri
The Thin Red Line,"Drama, War",Terrence Malick,Jim Caviezel,Sean Penn,Nick Nolte,Kirk Acevedo
Mulan,"Animation, Adventure, Family",Tony Bancroft,Barry Cook,Ming-Na Wen,Eddie Murphy,BD Wong
Fear and Loathing in Las Vegas,"Adventure, Comedy, Drama",Terry Gilliam,Johnny Depp,Benicio Del Toro,Tobey Maguire,Michael Lee Gogin
Funny Games,"Crime, Drama, Thriller",Michael Haneke,Susanne Lothar,Ulrich Mühe,Arno Frisch,Frank Giering
Dark City,"Mystery, Sci-Fi, Thriller",Alex Proyas,Rufus Sewell,Kiefer Sutherland,Jennifer Connelly,William Hurt
Sleepers,"Crime, Drama, Thriller",Barry Levinson,Robert De Niro,Kevin Bacon,Brad Pitt,Jason Patric
Lost Highway,"Mystery, Thriller",David Lynch,Bill Pullman,Patricia Arquette,John Roselius,Louis Eppolito
Sense and Sensibility,"Drama, Romance",Ang Lee,Emma Thompson,Kate Winslet,James Fleet,Tom Wilkinson
Die Hard: With a Vengeance,"Action, Adventure, Thriller",John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene
Dead Man,"Adventure, Drama, Fantasy",Jim Jarmusch,Johnny Depp,Gary Farmer,Crispin Glover,Lance Henriksen
The Bridges of Madison County,"Drama, Romance",Clint Eastwood,Clint Eastwood,Meryl Streep,Annie Corley,Victor Slezak
Apollo 13,"Adventure, Drama, History",Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise
Trois couleurs: Blanc,"Comedy, Drama, Romance",Krzysztof Kieslowski,Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,Jerzy Stuhr
Falling Down,"Action, Crime, Drama",Joel Schumacher,Michael Douglas,Robert Duvall,Barbara Hershey,Rachel Ticotin
Dazed and Confused,Comedy,Richard Linklater,Jason London,Wiley Wiggins,Matthew McConaughey,Rory Cochrane
My Cousin Vinny,"Comedy, Crime",Jonathan Lynn,Joe Pesci,Marisa Tomei,Ralph Macchio,Mitchell Whitfield
Omohide poro poro,"Animation, Drama, Romance",Isao Takahata,Miki Imai,Toshirô Yanagiba,Yoko Honna,Mayumi Izuka
Delicatessen,"Comedy, Crime",Marc Caro,Jean-Pierre Jeunet,Marie-Laure Dougnac,Dominique Pinon,Pascal Benezech
Home Alone,"Comedy, Family",Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard
The Godfather: Part III,"Crime, Drama",Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,Talia Shire
When Harry Met Sally...,"Comedy, Drama, Romance",Rob Reiner,Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby
The Little Mermaid,"Animation, Family, Fantasy",Ron Clements,John Musker,Jodi Benson,Samuel E. Wright,Rene Auberjonois
The Naked Gun: From the Files of Police Squad!,"Comedy, Crime",David Zucker,Leslie Nielsen,Priscilla Presley,O.J. Simpson,Ricardo Montalban
"Planes, Trains & Automobiles","Comedy, Drama",John Hughes,Steve Martin,John Candy,Laila Robins,Michael McKean
Lethal Weapon,"Action, Crime, Thriller",Richard Donner,Mel Gibson,Danny Glover,Gary Busey,Mitchell Ryan
Blood Simple,"Crime, Drama, Thriller",Joel Coen,Ethan Coen,John Getz,Frances McDormand,Dan Hedaya
On Golden Pond,Drama,Mark Rydell,Katharine Hepburn,Henry Fonda,Jane Fonda,Doug McKeon
Mad Max 2,"Action, Adventure, Sci-Fi",George Miller,Mel Gibson,Bruce Spence,Michael Preston,Max Phipps
The Warriors,"Action, Crime, Thriller",Walter Hill,Michael Beck,James Remar,Dorsey Wright,Brian Tyler
The Muppet Movie,"Adventure, Comedy, Family",James Frawley,Jim Henson,Frank Oz,Jerry Nelson,Richard Hunt
Escape from Alcatraz,"Action, Biography, Crime",Don Siegel,Clint Eastwood,Patrick McGoohan,Roberts Blossom,Jack Thibeau
Watership Down,"Animation, Adventure, Drama",Martin Rosen,John Hubley,John Hurt,Richard Briers,Ralph Richardson
Midnight Express,"Biography, Crime, Drama",Alan Parker,Brad Davis,Irene Miracle,Bo Hopkins,Paolo Bonacelli
Close Encounters of the Third Kind,"Drama, Sci-Fi",Steven Spielberg,Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon
The Long Goodbye,"Comedy, Crime, Drama",Robert Altman,Elliott Gould,Nina van Pallandt,Sterling Hayden,Mark Rydell
Giù la testa,"Drama, War, Western",Sergio Leone,Rod Steiger,James Coburn,Romolo Valli,Maria Monti
Kelly's Heroes,"Adventure, Comedy, War",Brian G. Hutton,Clint Eastwood,Telly Savalas,Don Rickles,Carroll O'Connor
The Jungle Book,"Animation, Adventure, Family",Wolfgang Reitherman,Phil Harris,Sebastian Cabot,Louis Prima,Bruce Reitherman
Blowup,"Drama, Mystery, Thriller",Michelangelo Antonioni,David Hemmings,Vanessa Redgrave,Sarah Miles,John Castle
A Hard Day's Night,"Comedy, Music, Musical",Richard Lester,John Lennon,Paul McCartney,George Harrison,Ringo Starr
Breakfast at Tiffany's,"Comedy, Drama, Romance",Blake Edwards,Audrey Hepburn,George Peppard,Patricia Neal,Buddy Ebsen
Giant,"Drama, Western",George Stevens,Elizabeth Taylor,Rock Hudson,James Dean,Carroll Baker
From Here to Eternity,"Drama, Romance, War",Fred Zinnemann,Burt Lancaster,Montgomery Clift,Deborah Kerr,Donna Reed
Lifeboat,"Drama, War",Alfred Hitchcock,Tallulah Bankhead,John Hodiak,Walter Slezak,William Bendix
The 39 Steps,"Crime, Mystery, Thriller",Alfred Hitchcock,Robert Donat,Madeleine Carroll,Lucie Mannheim,Godfrey Tearle
